latitude,longitude,attacktype1,nwk
-0.064988,29.510771,2,13
-0.082397,40.094175,2,9
-0.091702,34.767957,1,2
-0.100689,41.908362,3,0
-0.167739,35.860619,3,0
-0.167739,35.860619,3,0
-0.2004,-75.771433,6,0
-0.357568,42.547725,3,1
-0.357568,42.547725,3,5
-0.357568,42.547725,9,0
-0.358056,42.545278,9,3
-0.358169,42.548747,1,44
-0.358427,42.548747,3,0
-0.358512,42.548919,2,1
-0.359285,42.544899,3,7
-0.360278,42.54778,2,0
-0.360278,42.54778,3,6
-0.360278,42.54778,3,0
-0.360278,42.548778,1,0
-0.360278,42.548778,1,0
-0.360278,42.548778,1,0
-0.360278,42.548778,1,0
-0.360278,42.548778,2,16
-0.360278,42.548778,2,5
-0.360278,42.548778,2,1
-0.360278,42.548778,2,2
-0.360278,42.548778,2,0
-0.360278,42.548778,2,0
-0.360278,42.548778,2,1
-0.360278,42.548778,3,1
-0.360278,42.548778,3,0
-0.360278,42.548778,3,7
-0.360278,42.548778,3,0
-0.360278,42.548778,3,5
-0.360278,42.548778,3,16
-0.360278,42.548778,3,0
-0.360278,42.548778,3,4
-0.360278,42.548778,3,0
-0.360278,42.548778,3,6
-0.360278,42.548778,3,0
-0.360278,42.548778,3,0
-0.360278,42.548778,3,0
-0.360278,42.548778,3,0
-0.360278,42.548778,3,0
-0.360278,42.548778,3,3
-0.360278,42.548778,3,1
-0.360278,42.548778,3,0
-0.360278,42.548778,3,0
-0.360278,42.548778,3,0
-0.360278,42.548778,3,0
-0.360278,42.548778,3,2
-0.360278,42.548778,3,0
-0.360278,42.548778,3,0
-0.360278,42.548778,9,6
-0.360283,42.548778,3,4
-0.360315,42.545044,2,2
-0.360401,42.548404,1,1
-0.360488,42.548747,9,0
-0.360726,42.548103,3,2
-0.361259,42.548232,3,5
-0.374819,42.461409,3,0
-0.374819,42.461409,9,4
-0.389333,42.4475,2,0
-0.389333,42.4475,3,2
-0.433333,40.246111,2,2
-0.45198,39.64398,2,4
-0.45198,39.64398,3,6
-0.45301,39.644073,2,2
-0.453057,39.647587,7,0
-0.453229,39.646099,2,33
-0.453229,39.646099,2,4
-0.453229,39.646099,2,84
-0.453229,39.646099,2,2
-0.453229,39.646099,2,0
-0.453229,39.646099,2,8
-0.453229,39.646099,2,1
-0.453229,39.646099,2,2
-0.453229,39.646099,2,6
-0.453229,39.646099,2,4
-0.453229,39.646099,3,7
-0.453229,39.646099,3,0
-0.453229,39.646099,3,1
-0.453229,39.646099,3,0
-0.453229,39.646099,3,1
-0.453229,39.646099,7,0
-0.453233,39.645961,3,0
-0.453255,39.646136,2,2
-0.453255,39.646136,2,3
-0.453255,39.646136,2,3
-0.453255,39.646136,3,12
-0.453267,39.646039,2,18
-0.455694,39.640815,2,3
-0.459254,39.681097,3,9
-0.48592,40.321132,4,0
-0.620715,40.258942,2,2
-0.642687,29.03595,2,46
-0.724478,39.008318,2,5
-0.782752,41.418028,9,0
-0.791773,29.045993,2,16
-0.815556,120.176667,3,1
-0.844167,29.598611,2,11
-0.861453,134.062042,2,6
-0.896722,119.857299,2,0
-0.898583,119.850601,1,1
-0.898583,119.850601,2,5
-0.898583,119.850601,3,3
-0.898583,119.850601,7,0
-1.001944,41.661389,2,12
-1.011505,29.357049,2,0
-1.013779,36.905687,3,0
-1.131175,29.254875,9,160
-1.150226,36.955406,3,0
-1.165474,119.886186,2,7
-1.171804,41.307723,2,15
-1.171804,41.307723,3,0
-1.183333,40.783333,2,6
-1.185495,29.446786,6,0
-1.240591,36.88044,3,0
-1.266667,36.85,3,7
-1.266667,36.85,3,0
-1.266667,36.85,3,1
-1.266667,36.85,3,40
-1.267124,36.849697,3,3
-1.291831,36.825944,3,10
-1.292066,36.821946,3,18
-1.292066,36.821946,3,38
-1.292066,36.821946,3,7
-1.292066,36.821946,3,1
-1.292066,36.821946,3,8
-1.292066,36.821946,3,14
-1.292066,36.821946,3,2
-1.292066,36.821946,3,2
-1.292066,36.821946,5,273
-1.292085,36.821869,3,44
-1.292085,36.821869,3,3
-1.292085,36.821869,3,1
-1.292085,36.821869,3,40
-1.303999,29.590681,3,14
-1.3575,29.368889,2,0
-1.361147,36.659117,3,0
-1.384606,120.757265,3,1
-1.391922,120.766998,3,0
-1.393147,120.754749,1,0
-1.393147,120.754749,2,7
-1.393147,120.754749,2,3
-1.393147,120.754749,3,21
-1.393147,120.754749,3,5
-1.393147,120.754749,3,7
-1.393147,120.754749,3,1
-1.393147,120.754749,3,0
-1.393147,120.754749,3,9
-1.393147,120.754749,3,0
-1.393147,120.754749,3,0
-1.393147,120.754749,3,0
-1.393147,120.754749,3,0
-1.393147,120.754749,3,0
-1.393147,120.754749,3,0
-1.393147,120.754749,3,0
-1.402226,120.758315,2,6
-1.402226,120.758315,3,0
-1.40232,120.758233,1,0
-1.40232,120.758233,3,0
-1.40232,120.758233,3,3
-1.40232,120.758233,3,0
-1.40232,120.758233,3,0
-1.40232,120.758233,3,0
-1.40232,120.758233,7,0
-1.424192,120.66989,2,1.6666666666
-1.429674,28.074225,2,2
-1.456948,120.634468,2,1.6666666666
-1.467778,120.615833,2,1.6666666666
-1.479086,121.454854,3,0
-1.49,120.633333,2,1.6666666666
-1.49,120.633333,3,1
-1.500115,29.633463,3,6
-1.56969,127.453222,2,2
-1.571389,120.628611,2,1.6666666666
-1.583546,40.498903,6,12
-1.584919,120.654573,2,1.6666666666
-1.598303,39.450989,2,9
-1.64788,120.43861,3,2
-1.65778,29.220244,2,0
-1.658501,29.220455,2,1
-1.658501,29.220455,2,0
-1.658501,29.220455,3,0
-1.658554,29.220461,3,21
-1.659819,29.219415,3,5
-1.698647,29.371491,2,10
-1.763255,120.640908,3,82
-1.868727,138.743607,7,6
-1.893291,120.825798,3,0
-1.947981,30.05751,3,9
-1.950106,30.058769,3,18
-1.950106,30.058769,3,6
-1.950106,30.058769,3,35
-1.950106,30.058769,3,15
-1.950106,30.058769,3,9
-11.254017,-74.637381,2,10
-11.431789,-74.4848,2,1
-11.664677,27.479553,2,19
-11.664717,27.479547,2,3
-11.666022,27.479525,2,15
-11.717222,-72.945278,6,0
-12.08299,-72.92067,6,0
-12.28365,-74.873414,3,1
-12.286658,-74.874104,7,0
-12.414374,-73.900641,2,1
-12.5125,-73.857778,9,2
-12.622925,-73.087749,9,3
-12.647404,-73.048645,7,0
-12.677856,-72.622833,3,0
-12.728041,-73.947004,6,2
-12.728041,-73.947004,7,0
-12.86366,-72.69258,2,2
-13.002668,-73.513029,1,1
-15.062667,39.193373,6,1
-15.116701,39.266653,2,5
-16.433333,179.366667,6,0
-16.779911,179.33811,6,0
-16.79764,47.651581,7,0
-17.624167,177.452778,7,0
-17.862136,34.597132,2,0
-18.1416,178.4419,3,0
-18.1416,178.4419,6,24
-18.208333,32.8,2,1
-18.283333,32.05,2,1
-18.283333,32.05,6,0
-18.493268,34.423609,2,26
-18.685277,34.26477,2,9
-18.914872,47.531612,3,3
-18.914872,47.531612,3,0
-19.616667,34.75,2,7
-2.076093,29.7575,3,10
-2.116667,133.533333,7,0
-2.143056,120.728611,2,4
-2.203816,-79.897453,1,0
-2.203816,-79.897453,1,1
-2.515364,28.845079,1,1
-2.528781,140.713463,1,1
-2.528781,140.713463,2,1
-2.528781,140.713463,2,6
-2.528781,140.713463,2,2
-2.528781,140.713463,3,0
-2.530731,-44.306826,1,1
-2.533,140.717,8,2
-2.533333,112.95,9,8
-2.534382,140.709304,2,0
-2.534382,140.709304,2,6
-2.534382,140.709304,2,6
-2.534382,140.709304,2,4
-2.534382,140.709304,2,1
-2.534382,140.709304,2,2
-2.534382,140.709304,3,0
-2.541279,140.71373,2,1
-2.541653,140.706078,2,1
-2.662539,140.699787,2,4
-2.662539,140.699787,2,11
-2.694693,27.341538,2,35.66
-2.694693,27.341538,9,22.34
-2.794995,129.493398,3,0
-2.931855,29.424083,9,1
-20.17219,28.58116,7,0
-20.32727,33.885775,2,13
-20.327374,33.885775,2,4
-20.576852,33.836624,2,4
-20.576857,33.836645,2,6
-20.576907,33.835862,2,3
-20.57694,33.83583,2,11
-20.57694,33.83583,2,2
-20.57694,33.83583,7,5
-20.57694,33.83583,7,5
-20.873702,34.41834,2,7
-21.633455,-41.048953,1,1
-22.015407,-63.678247,2,2
-22.759087,-43.454762,1,1
-22.811926,-57.101319,2,2
-22.811926,-57.101319,3,1
-22.848195,-45.227283,3,0
-23.318849,-56.488096,3,4
-23.343832,-57.051071,3,3
-23.343832,-57.051071,6,0
-23.399128,-57.422943,1,1
-23.4,-57.43,2,3
-23.4,-57.43,9,0
-23.45868,-56.738212,6,6
-23.45954,-56.738399,1,1
-23.45954,-56.738399,2,1
-23.45954,-56.738399,2,8
-26.204103,28.047305,7,0
-26.823992,27.840381,7,0
-27.470933,153.023502,7,0
-27.661735,151.897583,3,0
-28.0291,153.431388,3,0
-28.316667,31.416667,1,1
-28.45411,26.796785,7,0
-28.747704,30.442531,1,3
-29.00527,29.87561,1,0
-29.040112,29.77079,2,3
-29.73936,30.981985,1,1
-29.73936,30.981985,1,2
-29.740055,30.981764,1,1
-29.91,30.885,2,3
-29.926419,30.984071,7,0
-3,120.2,3,7
-3,120.2,3,7
-3.011658,28.299435,2,20
-3.016831,130.332522,2,6
-3.025327,28.288994,2,3
-3.030812,28.29895,2,20
-3.100096,30.163019,2,5
-3.193543,29.306158,2,3
-3.219186,40.116891,2,7
-3.228271,130.131225,2,28
-3.296667,102.861667,3,1
-3.29669,129.527507,2,2
-3.30606,128.961589,3,0
-3.332054,128.366703,2,2
-3.333333,29.25,2,12
-3.34111,128.923529,3,0
-3.341638,128.352878,3,7
-3.341638,128.352878,9,50
-3.36338,36.687477,3,24
-3.365789,36.67445,3,63
-3.389506,127.980532,2,3
