doa,lag_seconds,GoogleLat,GoogleLng,
7,0,34.97742,-86.77585,
7,0,33.82395,-85.80057,
7,58,32.27244,-86.50724,
0,235,32.27613,-86.3477,
7,50,33.85066,-86.82744,
7,0,33.18471,-86.30014,
0,1480,33.11854,-86.04494,
7,0,34.13035,-86.41297,
7,0,32.17039,-88.15696,
7,0,30.56507,-88.22923,
0,70,34.08549,-86.11028,
7,0,31.73329,-88.00678,
7,75,31.26531,-86.25659,
7,0,30.86198,-88.19782,
0,142,30.86198,-88.19782,
0,878,33.3574,-86.39332,
0,51,33.29269,-87.07956,
0,72,32.11049,-86.46096,
7,25,32.59773,-87.00475,
7,0,33.36538,-86.8824,
7,0,32.42111,-86.3598,
0,7066,34.55242,-87.69342,
7,75,33.8836,-87.04489,
7,0,30.77507,-88.17136,
7,0,33.9598,-87.43031,
7,0,33.14277,-87.54551,
7,0,31.89151,-85.14565,
0,7423,34.60476,-87.04281,
0,3470,33.18671,-87.41996,
7,0,32.85253,-86.62301,
7,50,34.30979,-87.69384,
7,59,34.30979,-87.69384,
7,0,33.50185,-86.55222,
0,50,31.81191,-86.10753,
7,0,33.88077,-87.33587,
0,1025,31.76237,-86.5461,
7,0,33.16537,-87.57062,
7,0,32.50073,-85.01195,
7,0,34.31184,-86.30463,
7,0,33.65678,-85.83034,
7,0,34.16116,-86.1362,
7,0,34.50373,-85.69308,
7,0,31.64984,-87.70842,
7,0,32.36316,-86.21356,
7,0,34.56486,-86.36592,
0,5517,32.81089,-86.7671,
7,0,34.82966,-85.83852,
7,0,32.91585,-86.765,
7,0,33.51076,-86.83919,
7,55,31.33902,-86.18126,
0,80,31.11102,-88.08638,
0,435,31.29656,-85.72102,
0,2615,33.86803,-85.86844,
7,0,33.05803,-85.40325,
7,78,32.46314,-85.72207,
7,90,33.14049,-88.12789,
7,80,31.89134,-86.19759,
7,48,32.05346,-85.51546,
0,50,31.85274,-86.05711,
0,30,31.08912,-87.52795,
7,0,33.36504,-86.17035,
7,0,33.36504,-86.17035,
7,0,34.22369,-86.74608,
7,0,33.13647,-86.24845,
